Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
Shiba Cafe,https://www.google.com/maps,8 AM,7:30 PM,☕☕☕☕☕,💪💪💪💪💪,🔌🔌🔌🔌🔌
Little's Coffee Shop,https://www.google.com/maps,1AM,2PM,☕,💪💪💪💪💪,🔌🔌🔌
Shiba Cafe,https://www.google.com/maps,2 PM,4 AM,☕☕☕,💪,🔌
KOFFEE,https://www.google.com/maps,8 AM,4 AM,☕,💪💪💪💪,🔌🔌🔌🔌🔌
KOFFEE,https://www.google.com/maps,8 AM,4 AM,☕,💪💪💪💪,🔌🔌🔌🔌🔌
KOFFEE,https://www.google.com/maps,asd,4 AM,☕☕☕☕,💪,🔌🔌🔌🔌
